Year,Region,Household Type,Measure,Value,Flags
"2002","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Government Transfer Income",0,
"2003","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Government Transfer Income",0,
"2004","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Government Transfer Income",0,
"2005","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Government Transfer Income",0,
"2006","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Government Transfer Income",0,
"2007","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Government Transfer Income",0,
"2008","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Government Transfer Income",0,
"2009","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Government Transfer Income",10,
"2010","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Government Transfer Income",0,
"2011","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Government Transfer Income",34,
"2012","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Government Transfer Income",0,
"2013","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Government Transfer Income",50,
"2014","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Government Transfer Income",30,
"2015","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Government Transfer Income",0,
"2016","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Government Transfer Income",0,
"2017","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Government Transfer Income",0,
"2018","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Median Government Transfer Income",0,
"1998","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Number of households (000)",7.9,
"1999","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Number of households (000)",7.2,
"2000","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Number of households (000)",7.5,
"2001","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Number of households (000)",7.2,
"2002","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Number of households (000)",6.5,
"2003","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Number of households (000)",7.7,
"2004","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Number of households (000)",7.1,
"2005","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Number of households (000)",7.2,
"2006","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Number of households (000)",7.1,
"2007","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Number of households (000)",6.7,
"2008","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Number of households (000)",7.6,
"2009","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Number of households (000)",7.5,
"2010","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Number of households (000)",5.9,
"2011","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Number of households (000)",6.9,
"2012","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Number of households (000)",7.8,
"2013","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Number of households (000)",7.8,
"2014","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Number of households (000)",6.8,
"2015","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Number of households (000)",9,
"2016","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Number of households (000)",8,
"2017","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Number of households (000)",9,
"2018","Gisborne/Hawkes Bay Regions","Couple with two dependent children","Number of households (000)",7.7,
"1998","Taranaki Region","Couple with two dependent children","Median Wage and Salary Income",600,
"1999","Taranaki Region","Couple with two dependent children","Median Wage and Salary Income",597,
"2000","Taranaki Region","Couple with two dependent children","Median Wage and Salary Income",723,
"2001","Taranaki Region","Couple with two dependent children","Median Wage and Salary Income",671,
"2002","Taranaki Region","Couple with two dependent children","Median Wage and Salary Income",854,
"2003","Taranaki Region","Couple with two dependent children","Median Wage and Salary Income",580,
"2004","Taranaki Region","Couple with two dependent children","Median Wage and Salary Income",935,
"2005","Taranaki Region","Couple with two dependent children","Median Wage and Salary Income",922,
"2006","Taranaki Region","Couple with two dependent children","Median Wage and Salary Income",1000,
"2007","Taranaki Region","Couple with two dependent children","Median Wage and Salary Income",855,
"2008","Taranaki Region","Couple with two dependent children","Median Wage and Salary Income",1160,
"2009","Taranaki Region","Couple with two dependent children","Median Wage and Salary Income",997,
"2010","Taranaki Region","Couple with two dependent children","Median Wage and Salary Income",1019,
"2011","Taranaki Region","Couple with two dependent children","Median Wage and Salary Income",1152,
"2012","Taranaki Region","Couple with two dependent children","Median Wage and Salary Income",1247,
"2013","Taranaki Region","Couple with two dependent children","Median Wage and Salary Income",1461,
"2014","Taranaki Region","Couple with two dependent children","Median Wage and Salary Income",1534,
"2015","Taranaki Region","Couple with two dependent children","Median Wage and Salary Income",1082,
"2016","Taranaki Region","Couple with two dependent children","Median Wage and Salary Income",1334,
"2017","Taranaki Region","Couple with two dependent children","Median Wage and Salary Income",2039,
"2018","Taranaki Region","Couple with two dependent children","Median Wage and Salary Income",1919,
"1998","Taranaki Region","Couple with two dependent children","Median Self-employment Income",0,
"1999","Taranaki Region","Couple with two dependent children","Median Self-employment Income",0,
"2000","Taranaki Region","Couple with two dependent children","Median Self-employment Income",0,
"2001","Taranaki Region","Couple with two dependent children","Median Self-employment Income",0,
"2002","Taranaki Region","Couple with two dependent children","Median Self-employment Income",0,
"2003","Taranaki Region","Couple with two dependent children","Median Self-employment Income",0,
